revenue,num_purchases,purchase,ab_group
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
1.885595,1.0,1,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
1.002159,1.0,1,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
2.99,1.0,1,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.25945,1.0,1,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
1.002704,1.0,1,B
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,B
0.0,0.0,0,A
49.99,1.0,1,A
0.0,0.0,0,A
0.0,0.0,0,B
0.0,0.0,0,A
